731733,19.3,0.4,1.3,26.1,12.3,66.7,182.7,4.4
731734,21.1,0,2.7,28.3,13.9,58.5,190.1,6.1
731735,21.8,0,3.3,27.9,15.5,64.3,53.8,4.3
731736,23.7,0,5.2,30.3,17,58.6,231.7,5.7
731737,21.7,0.2,3.4,28.3,15.1,68.9,128.5,5.3
731738,19,0.6,1.2,24.5,13.5,70.1,417.6,4.4
731739,21.1,0,2.7,27.6,14.5,65.3,20.5,4.4
731740,22.9,0,4.5,30.1,15.6,67.4,43.8,6.2
731741,18.4,1.2,1.2,24,12.6,63.1,764.2,8.3
731742,20.3,0.5,2.3,27.9,12.3,62.5,0.9,5.4
731743,20.9,0.3,2.8,25.8,15.9,65.7,341.1,7.2
731744,21,0.4,2.9,28.2,13.7,64.7,4.6,4.5
731745,19.5,0.7,1.7,24.9,14,66.9,227.9,5.6
731746,18.1,1.6,1.2,23.6,12.3,67.6,123.4,4.5
731747,17.8,1.5,0.8,23.2,12.1,64.5,302.5,4.5
731748,17.7,1.4,0.7,23,12.4,60.6,14.8,5.3
731749,18.8,0.8,0.9,26,11.2,57.6,3.1,4.6
731750,19.3,0.2,1.1,23.7,14.8,74,325.8,6.4
731751,18.5,0.5,0.5,21.8,15,76.2,126.6,9.3
731752,16.7,1.9,0.3,20.8,12.7,65.6,389.6,12.1
731753,14.5,3.4,0.1,19.3,9.9,63,90,8
731754,17.5,1.5,0.5,24.3,10.6,59.8,7.1,4.4
731755,22.3,0,3.8,30.1,14.2,60.3,27.2,8.8
731756,19.1,0.7,1.4,24.1,13.9,65,185.3,8.6
731757,17.5,1.6,0.7,22.3,12.7,62.8,0.3,7.4
731758,17.9,1.2,0.6,24.3,11.5,62.2,4.4,5.2
731759,18.9,0.4,0.9,25.5,12.4,58,29.2,5.3
731760,19.7,0.2,1.3,25.4,13.8,61.1,121.4,4.5
731761,20.1,0.4,2,26.2,13.7,60.5,17.5,4.2
731762,19.9,0.7,2.1,26.1,13.5,66,38.8,4.9
731763,18.3,0.8,0.6,22.4,14,79.8,389.9,7.6
731764,17.1,1.5,0.2,21.3,12.8,75.2,359.3,8.8
731765,16.3,2.1,0,20.2,12.5,78.8,350.7,8.3
731766,16,2.7,0.1,18.7,12.8,80.7,357,9.3
731767,15.9,2.6,0,18.6,13,82.8,419,9
731768,16.6,2.1,0.1,19.8,12.7,72.8,49,6.9
731769,16.9,1.6,0.2,22,11.9,67,22.2,4.6
731770,18.2,0.8,0.4,24.1,12,63,16.8,4.8
731771,18.2,0.7,0.4,22.9,13.3,68.7,24.9,6.2
731772,17.8,1.1,0.4,23.6,11.8,62.1,25.4,5.3
731773,19.6,0.1,1.2,27,12,58.1,0.3,5.8
731774,18.7,0.6,0.8,24,13.3,61.4,51.9,7.2
731775,17.4,1.2,0.3,23.3,11.6,58.7,0.4,5.6
731776,19.2,0.3,1.1,26.6,11.9,51.4,0,6.6
731777,21.5,0,3.2,29.1,14,49.8,0,6.4
731778,24.3,0,5.7,31.8,16.5,51.5,1.7,7.8
731779,21.9,0.1,3.6,27.4,16.4,72.3,329.7,6.7
731780,20.2,0.1,1.8,25.8,14.6,63.4,329.7,5.5
731781,22.3,0,3.9,29.9,14.7,51.2,1.9,4.6
731782,25,0,6.6,32.8,17.3,45.6,4,6.1
731783,23.9,0,5.4,29.9,17.6,63.8,141.4,4.9
731784,22,0,3.5,27.4,16.4,66.7,374.9,5.5
731785,21,0,2.6,26.9,15.1,63.7,245.2,4.4
731786,20.7,0.1,2.5,26.6,14.9,70.2,84.8,4.6
731787,20.2,0,1.8,25.5,14.7,66,289.6,4.7
731788,20.4,0,2.4,24.3,16.4,71.4,79.3,5.6
731789,22.9,0,4.5,28.3,17.5,71,150,7.6
731790,19.5,0.3,1.3,23.7,15.1,69.5,508.2,5.5
731791,19.1,0.2,0.9,24.9,13.1,60.7,45.5,4.1
731792,19.8,0.2,1.4,25.8,13.5,61.5,13.5,4.4
731793,20.3,0.1,1.9,26,14.4,64.2,88.3,4.4
731794,22.2,0,3.7,28.6,15.6,62.3,1.1,3.7
731795,23.7,0,5.3,29.9,17.5,60,1.2,3.7
731796,24.3,0,5.8,30.8,17.7,58,0,4
731797,24.3,0,5.9,31.4,17.2,54.2,0,4.4
731798,24.1,0,5.7,30.7,17.3,52.8,1.1,5.1
731799,23.6,0,5.2,30.3,16.6,50.4,8.5,4.4
731800,24.4,0,5.9,32.5,16.1,44.4,1.2,4
731801,25.4,0,7,33.6,17.2,42.7,1.7,4.1
731802,26,0,7.6,33.7,18.3,44.6,1.3,4.6
731803,25,0,6.5,32.1,17.6,46.6,0.3,5.6
731804,24.1,0,5.7,31.4,16.7,42.2,1.3,4.9
731805,25.9,0,7.4,34.4,17.2,41.6,1.9,4.4
731806,25.6,0,7,32.1,18.9,49.1,0.7,7.7
731807,21,0.1,2.5,25.5,16.1,58.1,5.6,8
731808,18.7,0.5,0.6,23.2,13.9,55.3,7.3,8.3
731809,18.3,1,0.8,24.4,12.2,54,1.4,5.5
731810,19.9,0.5,2,27.3,12.5,52.2,4,4.3
731811,22,0.1,3.6,27,16.8,65.5,59.6,7
731812,19.9,0.2,1.6,24.1,15.4,71.2,57.3,7.4
731813,18.8,0.6,1,24.2,13.3,61.7,0.9,5.3
731814,18.7,0.7,0.9,25.3,12.1,57.9,4.8,4.6
731815,19.5,0.4,1.4,24.7,14.1,59.5,2.4,8
731816,19.8,0.2,1.4,24.8,14.5,64.6,3.3,7.7
731817,18.2,1.1,0.7,22.6,13.5,63.1,31.5,6.3
731818,18.7,0.4,0.6,24.9,12.4,57.1,0,4.9
731819,18.2,0.7,0.4,24.9,11.3,55.4,1,6.5
731820,16.5,2.1,0.1,20.5,12.4,59.6,2.8,8.7
731821,17,1.9,0.3,22.8,10.8,60.8,5.9,4.1
731822,16.7,2.3,0.6,20.5,13,82.2,82,7.4
731823,15.1,3.4,0,18.7,11.3,77.9,30.2,6.9
731824,13.3,5.2,0,17.1,9.4,77.9,23.2,7.3
731825,12.6,5.9,0,16.6,8.4,76.5,41.4,6.7
731826,12.1,6.5,0,16.9,7,67.6,23.1,5.1
731827,12.9,5.6,0,18.5,7.1,64.4,2.3,5.4
731828,14.3,4.2,0,20.4,8.1,65.1,5.1,4.8
731829,15.5,2.8,0,22.8,8.3,61.2,8.5,5
731830,17,1.7,0.2,22.5,11.3,62.2,0.8,5.3
731831,17.2,1.1,0.3,21.6,12.8,70.9,1.8,3.8
731832,15.6,2.9,0,19.6,11.5,76.8,95.4,5.3
731833,14.7,3.8,0,18.4,10.8,80.9,2.9,5
731834,14,4.5,0,17.2,10.6,79,37.5,6
731835,12.7,5.7,0,15.5,9.9,85,203.8,8.9
731836,13.9,4.7,0,17.3,10.2,80.9,55,5.7
731837,13.9,4.6,0,18,9.7,74.6,7.7,5.9
731838,13.5,5,0,19.4,7.6,76.1,6.4,4
731839,14.8,3.8,0,21.2,8.1,71.9,0,3.9
731840,15.8,2.6,0,22.4,9.3,70.1,0,4
731841,16.7,1.8,0,23.4,9.8,67.8,0,3.5
731842,18.4,0.6,0.5,26.3,10.5,58.6,6.4,5
731843,19.1,0.6,1.1,26.2,11.7,61.4,6.4,5.2
731844,20.4,0.1,2,28,12.5,59.5,0,3.8
731845,19.6,0.5,1.6,25.4,13.4,56.5,1.9,6.1
731846,19.9,0.1,1.5,27.3,12,57.6,7.3,7.2
731847,13.2,5.3,0,17.9,8.3,75.3,21.2,8.4
731848,10.4,8.1,0,15.1,5.4,71.4,14.2,5.2
731849,11.1,7.4,0,17.6,4.5,61.4,0,5.7
731850,13.1,5.4,0,20.1,5.8,60.2,1.3,5.9
731851,12.7,5.8,0,17.5,7.8,70.1,3.1,4.8
731852,12.1,6.5,0,16.7,7.2,78.3,12.2,4.4
731853,10.9,7.6,0,14.1,7.5,82.4,59.6,7.1
731854,9.9,8.6,0,15.4,4.2,77.7,51.8,4.4
